subjectid,grade,quarter,season,time,score,shocks
1,1,1,fall,1,5,0
1,1,2,winter,2,1,0
1,1,3,spring,3,4,1
1,2,1,fall,4,16,1
1,2,2,winter,5,16,1
1,2,3,spring,6,16,1
1,3,1,fall,7,4,2
1,3,2,winter,8,8,2
1,3,3,spring,9,2,2
1,4,1,fall,10,6,2
1,4,2,winter,11,2,2
1,4,3,spring,12,10,2
2,1,1,fall,1,1,0
2,1,2,winter,2,2,0
2,1,3,spring,3,12,1
2,2,1,fall,4,16,1
2,2,2,winter,5,20,1
2,2,3,spring,6,24,1
2,3,1,fall,7,14,2
2,3,2,winter,8,16,2
2,3,3,spring,9,18,2
2,4,1,fall,10,20,2
2,4,2,winter,11,22,2
2,4,3,spring,12,24,2
3,1,1,fall,1,1,0
3,1,2,winter,2,5,0
3,1,3,spring,3,8,1
3,2,1,fall,4,4,1
3,2,2,winter,5,20,1
3,2,3,spring,6,8,1
3,3,1,fall,7,4,2
3,3,2,winter,8,8,2
3,3,3,spring,9,2,2
3,4,1,fall,10,6,2
3,4,2,winter,11,2,2
3,4,3,spring,12,4,2
4,1,1,fall,1,3,0
4,1,2,winter,2,3,0
4,1,3,spring,3,4,1
4,2,1,fall,4,12,1
4,2,2,winter,5,8,1
4,2,3,spring,6,8,1
4,3,1,fall,7,4,2
4,3,2,winter,8,10,2
4,3,3,spring,9,4,2
4,4,1,fall,10,2,2
4,4,2,winter,11,6,2
4,4,3,spring,12,4,2
5,1,1,fall,1,2,0
5,1,2,winter,2,5,0
5,1,3,spring,3,4,1
5,2,1,fall,4,8,1
5,2,2,winter,5,12,1
5,2,3,spring,6,12,1
5,3,1,fall,7,4,2
5,3,2,winter,8,4,2
5,3,3,spring,9,10,2
5,4,1,fall,10,6,2
5,4,2,winter,11,6,2
5,4,3,spring,12,10,2
6,1,1,fall,1,2,0
6,1,2,winter,2,3,0
6,1,3,spring,3,12,1
6,2,1,fall,4,20,1
6,2,2,winter,5,16,1
6,2,3,spring,6,4,1
6,3,1,fall,7,4,2
6,3,2,winter,8,8,2
6,3,3,spring,9,8,2
6,4,1,fall,10,4,2
6,4,2,winter,11,6,2
6,4,3,spring,12,4,2
7,1,1,fall,1,2,0
7,1,2,winter,2,2,0
7,1,3,spring,3,20,1
7,2,1,fall,4,16,1
7,2,2,winter,5,8,1
7,2,3,spring,6,4,1
7,3,1,fall,7,6,2
7,3,2,winter,8,4,2
7,3,3,spring,9,2,2
7,4,1,fall,10,10,2
7,4,2,winter,11,10,2
7,4,3,spring,12,8,2
8,1,1,fall,1,4,0
8,1,2,winter,2,2,0
8,1,3,spring,3,16,1
8,2,1,fall,4,4,1
8,2,2,winter,5,20,1
8,2,3,spring,6,16,1
8,3,1,fall,7,10,2
8,3,2,winter,8,10,2
8,3,3,spring,9,4,2
8,4,1,fall,10,8,2
8,4,2,winter,11,8,2
8,4,3,spring,12,8,2
9,1,1,fall,1,2,0
9,1,2,winter,2,2,0
9,1,3,spring,3,8,1
9,2,1,fall,4,16,1
9,2,2,winter,5,20,1
9,2,3,spring,6,20,1
9,3,1,fall,7,2,2
9,3,2,winter,8,8,2
9,3,3,spring,9,8,2
9,4,1,fall,10,10,2
9,4,2,winter,11,8,2
9,4,3,spring,12,2,2
10,1,1,fall,1,1,0
10,1,2,winter,2,5,0
10,1,3,spring,3,20,1
10,2,1,fall,4,8,1
10,2,2,winter,5,12,1
10,2,3,spring,6,4,1
10,3,1,fall,7,4,2
10,3,2,winter,8,4,2
10,3,3,spring,9,6,2
10,4,1,fall,10,8,2
10,4,2,winter,11,8,2
10,4,3,spring,12,6,2
